Procedimentos realizados,Frequência
0202080056 BACILOSCOPIA DIRETA P/ BAAR (HANSENIASE),1.0
0301010072 CONSULTA MEDICA EM ATENCAO ESPECIALIZADA,2.0
0301060061 ATENDIMENTO DE URGENCIA EM ATENCAO ESPECIALIZADA,2.0
Total,5.0
,
