Procedimentos realizados,Frequência
0201010402 BIOPSIA DE PLEURA (POR ASPIRACAO/AGULHA / PLEUROSCOPIA),1.0
0206020031 TOMOGRAFIA COMPUTADORIZADA DE TORAX,1.0
Total,2.0
,
