Procedimentos realizados,Frequência
0204030170 RADIOGRAFIA DE TORAX (PA),1.0
0206020031 TOMOGRAFIA COMPUTADORIZADA DE TORAX,3.0
0301010072 CONSULTA MEDICA EM ATENCAO ESPECIALIZADA,10.0
0301060029 ATENDIMENTO DE URGENCIA C/ OBSERVACAO ATE 24 HORAS EM ATENCAO ESPECIALIZADA,1.0
0301060096 ATENDIMENTO MEDICO EM UNIDADE DE PRONTO ATENDIMENTO,1.0
0301060118 ACOLHIMENTO COM CLASSIFICACAO DE RISCO,3.0
Total,19.0
,
