State,Total Frequency,Total Frequency per 100 thousand inhabitants
Acre,0.0,0.0
Alagoas,5.0,0.02
Amazonas,9.0,0.06
Amapá,0.0,0.0
Bahia,23.0,0.2
Ceará,19.0,0.17
Distrito Federal,9.0,0.1
Espírito Santo,2.0,0.02
Goiás,5.0,0.06
Maranhão,16.0,0.21
Minas Gerais,74.0,1.05
Mato Grosso do Sul,22.0,0.32
Mato Grosso,16.0,0.4
Pará,20.0,0.51
Paraíba,1.0,0.03
Pernambuco,45.0,1.23
Piauí,1.0,0.03
Paraná,10.0,0.31
Rio de Janeiro,287.0,9.18
Rio Grande do Norte,2.0,0.07
Rondônia,0.0,0.0
Roraima,81.0,3.67
Rio Grande do Sul,45.0,2.85
Santa Catarina,597.0,39.5
São Paulo,2.0,0.24
Sergipe,830.0,113.12
Tocantins,0.0,0.0
