PA_CIDPRI,Goiás,Mato Grosso do Sul,Mato Grosso,Distrito Federal,Total Frequency
N63,301.0,56.0,154.0,184.0,695.0
M966,100.0,367.0,224.0,0.0,691.0
S069,334.0,212.0,91.0,50.0,687.0
H023,643.0,0.0,0.0,25.0,668.0
M540,423.0,152.0,86.0,3.0,664.0
M468,188.0,110.0,79.0,286.0,663.0
M070,264.0,145.0,123.0,130.0,662.0
M050,97.0,497.0,38.0,29.0,661.0
M242,198.0,112.0,308.0,38.0,656.0
F788,635.0,0.0,1.0,19.0,655.0
F709,194.0,424.0,0.0,32.0,650.0
G318,544.0,0.0,2.0,103.0,649.0
H264,353.0,253.0,2.0,36.0,644.0
T141,471.0,21.0,3.0,139.0,634.0
R072,412.0,70.0,55.0,97.0,634.0
K564,34.0,20.0,556.0,23.0,633.0
H353,550.0,18.0,0.0,60.0,628.0
T16,75.0,50.0,79.0,423.0,627.0
E848,142.0,88.0,48.0,349.0,627.0
L989,320.0,159.0,70.0,71.0,620.0
E108,230.0,28.0,66.0,290.0,614.0
E119,508.0,26.0,35.0,41.0,610.0
Z941,48.0,20.0,4.0,536.0,608.0
Z340,483.0,46.0,46.0,32.0,607.0
G718,2.0,201.0,324.0,76.0,603.0
S800,340.0,123.0,74.0,62.0,599.0
P073,94.0,63.0,91.0,348.0,596.0
K508,302.0,56.0,85.0,152.0,595.0
Z933,405.0,17.0,24.0,146.0,592.0
M750,182.0,162.0,165.0,79.0,588.0
J441,296.0,123.0,55.0,112.0,586.0
K072,539.0,0.0,1.0,43.0,583.0
T140,411.0,10.0,0.0,162.0,583.0
S626,422.0,104.0,32.0,24.0,582.0
F82,334.0,132.0,96.0,19.0,581.0
G401,287.0,63.0,27.0,202.0,579.0
K590,241.0,77.0,120.0,139.0,577.0
S826,506.0,47.0,5.0,15.0,573.0
J029,147.0,239.0,54.0,131.0,571.0
T939,77.0,1.0,0.0,492.0,570.0
C508,174.0,126.0,90.0,179.0,569.0
O200,401.0,9.0,64.0,91.0,565.0
F102,135.0,19.0,394.0,13.0,561.0
F720,363.0,130.0,65.0,1.0,559.0
C539,276.0,100.0,128.0,54.0,558.0
N40,392.0,52.0,78.0,36.0,558.0
S420,405.0,99.0,38.0,15.0,557.0
Z01,522.0,3.0,29.0,0.0,554.0
K429,496.0,25.0,6.0,25.0,552.0
T742,301.0,3.0,2.0,242.0,548.0
G308,394.0,81.0,30.0,43.0,548.0
G700,200.0,117.0,21.0,206.0,544.0
M239,161.0,81.0,163.0,138.0,543.0
C50,397.0,9.0,82.0,53.0,541.0
H110,438.0,36.0,30.0,34.0,538.0
J159,232.0,90.0,66.0,149.0,537.0
S720,193.0,106.0,178.0,60.0,537.0
S723,342.0,44.0,137.0,10.0,533.0
M753,86.0,103.0,331.0,8.0,528.0
G510,103.0,105.0,247.0,70.0,525.0
M216,89.0,119.0,61.0,254.0,523.0
S610,201.0,145.0,78.0,97.0,521.0
A300,300.0,7.0,106.0,103.0,516.0
K80,24.0,4.0,115.0,372.0,515.0
