Procedimentos realizados,Frequência
0206020031 TOMOGRAFIA COMPUTADORIZADA DE TORAX,11.0
0301060029 ATENDIMENTO DE URGENCIA C/ OBSERVACAO ATE 24 HORAS EM ATENCAO ESPECIALIZADA,1.0
0301060096 ATENDIMENTO MEDICO EM UNIDADE DE PRONTO ATENDIMENTO,2.0
0301100195 ADMINISTRACAO DE MEDICAMENTOS POR VIA ENDOVENOSA,1.0
0301100217 ADMINISTRACAO DE MEDICAMENTOS POR VIA ORAL,1.0
Total,16.0
,
