Procedimentos realizados,Frequência
0202030679 PESQUISA DE ANTICORPOS CONTRA O VIRUS DA HEPATITE C (ANTI-HCV),1.0
0202031098 TESTE TREPONEMICO P/ DETECCAO DE SIFILIS,1.0
0206020031 TOMOGRAFIA COMPUTADORIZADA DE TORAX,3.0
0301060029 ATENDIMENTO DE URGENCIA C/ OBSERVACAO ATE 24 HORAS EM ATENCAO ESPECIALIZADA,6.0
0301060096 ATENDIMENTO MEDICO EM UNIDADE DE PRONTO ATENDIMENTO,8.0
0301100284 CURATIVO SIMPLES,3.0
Total,22.0
,
