Procedimentos realizados,Frequência
0206010079 TOMOGRAFIA COMPUTADORIZADA DO CRANIO,2.0
0206020031 TOMOGRAFIA COMPUTADORIZADA DE TORAX,5.0
0206030037 TOMOGRAFIA COMPUTADORIZADA DE PELVE / BACIA / ABDOMEN INFERIOR,1.0
0301090033 AVALIACAO MULTIDIMENSIONAL DA PESSOA IDOSA,1.0
Total,9.0
,
