Procedimentos realizados,Frequência
0206020031 TOMOGRAFIA COMPUTADORIZADA DE TORAX,2.0
0301010064 CONSULTA MEDICA EM ATENCAO PRIMARIA,1.0
0301010072 CONSULTA MEDICA EM ATENCAO ESPECIALIZADA,20.0
Total,23.0
,
